Goroka Airport,GKA
Madang Airport,MAG
Mount Hagen Kagamuga Airport,HGU
Nadzab Airport,LAE
Port Moresby Jacksons International Airport,POM
Wewak International Airport,WWK
Narsarsuaq Airport,UAK
Godthaab / Nuuk Airport,GOH
Kangerlussuaq Airport,SFJ
Thule Air Base,THU
Akureyri Airport,AEY
Egilsstaðir Airport,EGS
Hornafjörður Airport,HFN
Húsavík Airport,HZK
Ísafjörður Airport,IFJ
Keflavik International Airport,KEF
Patreksfjörður Airport,PFJ
Reykjavik Airport,RKV
Siglufjörður Airport,SIJ
Vestmannaeyjar Airport,VEY
Sault Ste Marie Airport,YAM
Winnipeg / St. Andrews Airport,YAV
Halifax / CFB Shearwater Heliport,YAW
St. Anthony Airport,YAY
Tofino / Long Beach Airport,YAZ
Kugaaruk Airport,YBB
Baie Comeau Airport,YBC
CFB Bagotville,YBG
Baker Lake Airport,YBK
Campbell River Airport,YBL
Brandon Municipal Airport,YBR
Cambridge Bay Airport,YCB
Nanaimo Airport,YCD
Castlegar/West Kootenay Regional Airport,YCG
Miramichi Airport,YCH
Charlo Airport,YCL
Kugluktuk Airport,YCO
Coronation Airport,YCT
Chilliwack Airport,YCW
Clyde River Airport,YCY
Coral Harbour Airport,YZS
Dawson City Airport,YDA
Burwash Airport,YDB
Princeton Airport,YDC
Deer Lake Airport,YDF
Dease Lake Airport,YDL
Dauphin Barker Airport,YDN
Dawson Creek Airport,YDQ
Edmonton International Airport,YEG
Arviat Airport,YEK
Estevan Airport,YEN
Edson Airport,YET
Eureka Airport,YEU
Inuvik Mike Zubko Airport,YEV
Iqaluit Airport,YFB
Fredericton Airport,YFC
Forestville Airport,\N
Flin Flon Airport,YFO
Fort Resolution Airport,YFR
Fort Simpson Airport,YFS
Kingston Norman Rogers Airport,YGK
La Grande Rivière Airport,YGL
Gaspé (Michel-Pouliot) Airport,YGP
Geraldton Greenstone Regional Airport,YGQ
Îles-de-la-Madeleine Airport,YGR
Hudson Bay Airport,YHB
Dryden Regional Airport,YHD
Ulukhaktok Holman Airport,YHI
Gjoa Haven Airport,YHK
John C. Munro Hamilton International Airport,YHM
Montréal / Saint-Hubert Airport,YHU
Hay River / Merlyn Carter Airport,YHY
Halifax / Stanfield International Airport,YHZ
Atikokan Municipal Airport,YIB
Pond Inlet Airport,YIO
St Jean Airport,YJN
Stephenville Airport,YJT
Kamloops Airport,YKA
Waterloo Airport,YKF
Schefferville Airport,YKL
Kindersley Airport,YKY
Buttonville Municipal Airport,YKZ
Chapleau Airport,YLD
Meadow Lake Airport,YLJ
Lloydminster Airport,YLL
Alert Airport,YLT
Kelowna International Airport,YLW
Mayo Airport,YMA
Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ
Fort McMurray Airport,YMM
Moosonee Airport,YMO
Maniwaki Airport,YMW
Montreal International (Mirabel) Airport,YMX
Natashquan Airport,YNA
Ottawa / Gatineau Airport,YND
Matagami Airport,YNM
Old Crow Airport,YOC
CFB Cold Lake,YOD
High Level Airport,YOJ
Ottawa Macdonald-Cartier International Airport,YOW
Prince Albert Glass Field,YPA
Peace River Airport,YPE
Southport Airport,YPG
Pitt Meadows Airport,N
Pickle Lake Airport,YPL
Port Menier Airport,YPN
Peterborough Airport,YPQ
Prince Rupert Airport,YPR
Fort Chipewyan Airport,YPY
Muskoka Airport,YQA
Quebec Jean Lesage International Airport,YQB
Red Deer Regional Airport,YQF
Windsor Airport,YQG
Watson Lake Airport,YQH
Kenora Airport,YQK
Lethbridge County Airport,YQL
Greater Moncton International Airport,YQM
Comox Airport,YQQ
Regina International Airport,YQR
Thunder Bay Airport,YQT
Grande Prairie Airport,YQU
Yorkton Municipal Airport,YQV
North Battleford Airport,YQW
Gander International Airport,YQX
Sydney / J.A. Douglas McCurdy Airport,YQY
Quesnel Airport,YQZ
Resolute Bay Airport,YRB
Rivière-du-Loup Airport,YRI
Roberval Airport,YRJ
Rocky Mountain House Airport,YRM
Rankin Inlet Airport,YRT
Sudbury Airport,YSB
Sherbrooke Airport,YSC
Saint John Airport,YSJ
Fort Smith Airport,YSM
Nanisivik Airport,YSR
Summerside Airport,YSU
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY
Cape Dorset Airport,YTE
Thompson Airport,YTH
CFB Trenton,YTR
Timmins/Victor M. Power,YTS
Billy Bishop Toronto City Centre Airport,YTZ
Tuktoyaktuk Airport,YUB
Montreal / Pierre Elliott Trudeau International Airport,YUL
Repulse Bay Airport,YUT
Hall Beach Airport,YUX
Rouyn Noranda Airport,YUY
La Ronge Airport,YVC
Vermilion Airport,YVG
Qikiqtarjuaq Airport,YVM
Val-d'Or Airport,YVO
Kuujjuaq Airport,YVP
Norman Wells Airport,YVQ
Vancouver International Airport,YVR
Buffalo Narrows Airport,YVT
Wiarton Airport,YVV
Petawawa Airport,YWA
Winnipeg / James Armstrong Richardson International Airport,YWG
Wabush Airport,YWK
Williams Lake Airport,YWL
Wrigley Airport,YWY
Cranbrook/Canadian Rockies International Airport,YXC
Edmonton City Centre (Blatchford Field) Airport,YXD
Saskatoon John G. Diefenbaker International Airport,YXE
Medicine Hat Airport,YXH
Fort St John Airport,YXJ
Sioux Lookout Airport,YXL
Pangnirtung Airport,YXP
Earlton (Timiskaming Regional) Airport,YXR
Prince George Airport,YXS
Northwest Regional Airport Terrace-Kitimat,YXT
London Airport,YXU
Abbotsford Airport,YXX
Whitehorse / Erik Nielsen International Airport,YXY
North Bay Airport,YYB
Calgary International Airport,YYC
Smithers Airport,YYD
Fort Nelson Airport,YYE
Penticton Airport,YYF
Charlottetown Airport,YYG
Taloyoak Airport,YYH
Victoria International Airport,YYJ
Lynn Lake Airport,YYL
Swift Current Airport,YYN
Churchill Airport,YYQ
Goose Bay Airport,YYR
St. John's International Airport,YYT
Kapuskasing Airport,YYU
Armstrong Airport,YYW
Mont Joli Airport,YYY
Lester B. Pearson International Airport,YYZ
Downsview Airport,YZD
Gore Bay Manitoulin Airport,YZE
Yellowknife Airport,YZF
Slave Lake Airport,YZH
Sandspit Airport,YZP
Chris Hadfield Airport,YZR
Port Hardy Airport,YZT
Whitecourt Airport,YZU
Sept-Îles Airport,YZV
Teslin Airport,YZW
CFB Greenwood,YZX
Faro Airport,ZFA
Fort Mcpherson Airport,ZFM
Blida Airport,\N
Bou Saada Airport,\N
Soummam Airport,BJA
Houari Boumediene Airport,ALG
Djanet Inedbirene Airport,DJG
Boufarik Airport,QFD
Reggane Airport,\N
Illizi Takhamalt Airport,VVZ
Ain Oussera Airport,\N
Aguenar – Hadj Bey Akhamok Airport,TMR
Jijel Ferhat Abbas Airport,GJL
Mecheria Airport,\N
Relizane Airport,\N
Annaba Airport,AAE
Mohamed Boudiaf International Airport,CZL
Cheikh Larbi Tébessi Airport,TEE
Hassi R'Mel Airport,HRM
Bou Chekif Airport,TID
Bou Sfer Airport,\N
Tindouf Airport,TIN
Ech Cheliff Airport,QAS
Tafaraoui Airport,TAF
Zenata – Messali El Hadj Airport,TLM
Es Senia Airport,ORN
Sidi Bel Abbes Airport,\N
Ghriss Airport,MUW
Touat Cheikh Sidi Mohamed Belkebir Airport,AZR
Biskra Airport,BSK
El Golea Airport,ELG
Noumérat - Moufdi Zakaria Airport,GHA
Oued Irara Airport,HME
In Salah Airport,INZ
Touggourt Sidi Madhi Airport,TGR
Laghouat Airport,LOO
Timimoun Airport,TMX
Ain el Beida Airport,OGX
In Aménas Airport,IAM
Cadjehoun Airport,COO
Ouagadougou Airport,OUA
Bobo Dioulasso Airport,BOY
Kotoka International Airport,ACC
Tamale Airport,TML
Wa Airport,\N
Sunyani Airport,NYI
Takoradi Airport,TKD
Port Bouet Airport,ABJ
Bouaké Airport,BYK
Daloa Airport,DJO
Korhogo Airport,HGO
Man Airport,MJC
San Pedro Airport,SPY
Yamoussoukro Airport,ASK
Nnamdi Azikiwe International Airport,ABV
Akure Airport,AKR
Benin Airport,BNI
Margaret Ekpo International Airport,CBQ
Akanu Ibiam International Airport,ENU
Gusau Airport,QUS
Ibadan Airport,IBA
Ilorin International Airport,ILR
Yakubu Gowon Airport,JOS
Kaduna Airport,KAD
Mallam Aminu International Airport,KAN
Maiduguri International Airport,MIU
Makurdi Airport,MDI
Murtala Muhammed International Airport,LOS
Minna Airport,MXJ
Port Harcourt International Airport,PHC
Sadiq Abubakar III International Airport,SKO
Yola Airport,YOL
Zaria Airport,ZAR
Maradi Airport,MFQ
Diori Hamani International Airport,NIM
Tahoua Airport,THZ
Mano Dayak International Airport,AJY
Dirkou Airport,\N
Diffa Airport,\N
Zinder Airport,ZND
Monastir Habib Bourguiba International Airport,MIR
Tunis Carthage International Airport,TUN
Sidi Ahmed Air Base,\N
Remada Air Base,\N
Gafsa Ksar International Airport,GAF
Gabès Matmata International Airport,GAE
Borj El Amri Airport,\N
Djerba Zarzis International Airport,DJE
El Borma Airport,EBM
Sfax Thyna International Airport,SFA
Tozeur Nefta International Airport,TOE
Niamtougou International Airport,LRL
Lomé-Tokoin Airport,LFW
Antwerp International Airport (Deurne),ANR
Beauvechain Air Base,\N
Kleine Brogel Air Base,\N
Brussels Airport,BRU
Jehonville Air Base,\N
Brussels South Charleroi Airport,CRL
Chièvres Air Base,\N
Koksijde Air Base,\N
Florennes Air Base,\N
Wevelgem Airport,QKT
Liège Airport,LGG
Ostend-Bruges International Airport,OST
Zutendaal Air Base,\N
Limburg Regional Airport,\N
Saint Hubert Air Base,\N
Ursel Air Base,\N
Weelde Air Base,\N
Oostmalle Air Base,\N
Bautzen Airport,\N
Altenburg-Nobitz Airport,AOC
